2018-11-02 16:08:15,299 - DEBUG - generation=3, Rank=0, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=18.4100, childFitness=10.0000, networkFitness=46.2000
2018-11-02 16:10:29,809 - DEBUG - generation=3, Rank=1, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=27.2900, childFitness=33.5400, networkFitness=33.5400
2018-11-02 16:13:03,806 - DEBUG - generation=3, Rank=2, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=18.8900
2018-11-02 16:16:13,229 - DEBUG - generation=3, Rank=3, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 6, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:19:58,114 - DEBUG - generation=3, Rank=4, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 32}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:23:45,942 - DEBUG - generation=3, Rank=5, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:28:06,015 - DEBUG - generation=3, Rank=6, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:32:11,277 - DEBUG - generation=3, Rank=7, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 15, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:36:07,836 - DEBUG - generation=3, Rank=8, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
2018-11-02 16:41:27,437 - DEBUG - generation=3, Rank=9, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=18.5700, childFitness=19.1000, networkFitness=19.1000
2018-11-02 16:45:53,150 - DEBUG - generation=3, Rank=10, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=25.0400, childFitness=10.0000, networkFitness=27.4200
2018-11-02 16:49:46,810 - DEBUG - generation=3, Rank=11, parent={'dropout': 0.4, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000
