2018-11-02 20:09:38,251 - DEBUG - generation=5, Rank=8, processid=boyle-n010.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=39.8000, childFitness=42.2100, networkFitness=42.5600
2018-11-02 20:09:38,414 - DEBUG - generation=5, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=45.9800, childFitness=44.2300, networkFitness=45.9800
2018-11-02 20:09:39,211 - DEBUG - generation=5, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=43.3800, childFitness=44.1100, networkFitness=44.1600
2018-11-02 20:09:45,581 - DEBUG - generation=5, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=37.9800, childFitness=35.1800, networkFitness=39.0700
2018-11-02 20:10:12,564 - DEBUG - generation=5, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=39.3900, childFitness=41.4000, networkFitness=41.4000
2018-11-02 20:10:19,664 - DEBUG - generation=5, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=44.8200, childFitness=45.0700, networkFitness=45.0700
2018-11-02 20:10:48,740 - DEBUG - generation=5, Rank=6, processid=boyle-n010.cluster, parent={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=42.3300, childFitness=42.7100, networkFitness=42.7100
2018-11-02 20:14:34,489 - DEBUG - generation=6, Rank=9, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'hard_sigmoid', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=44.1700, childFitness=19.6100, networkFitness=44.1700
2018-11-02 20:14:42,077 - DEBUG - generation=6, Rank=4, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=37.4000, childFitness=34.9300, networkFitness=40.7100
2018-11-02 20:14:43,537 - DEBUG - generation=6, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 32}, parentFitness=44.0100, childFitness=42.8200, networkFitness=45.9800
