2018-11-02 19:34:19,842 - DEBUG - generation=2, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=39.5500, childFitness=41.2500, networkFitness=41.2500
2018-11-02 19:36:59,278 - DEBUG - generation=3, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=42.2500, childFitness=40.9200, networkFitness=42.2500
2018-11-02 19:37:02,717 - DEBUG - generation=3, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=44.6900, childFitness=22.8100, networkFitness=45.2900
2018-11-02 19:37:15,724 - DEBUG - generation=3, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 8}, parentFitness=18.9700, childFitness=18.4600, networkFitness=20.0900
2018-11-02 19:37:19,030 - DEBUG - generation=3, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=26.2200, childFitness=30.7400, networkFitness=36.1200
2018-11-02 19:37:23,578 - DEBUG - generation=3, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=34.4700, childFitness=13.7900, networkFitness=36.0500
2018-11-02 19:37:33,573 - DEBUG - generation=3, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=46.3600, childFitness=43.5200, networkFitness=47.0000
2018-11-02 19:37:40,456 - DEBUG - generation=3, Rank=9, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=24.7100, childFitness=32.5100, networkFitness=32.5100
2018-11-02 19:37:45,882 - DEBUG - generation=3, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=19.0500, childFitness=39.9800, networkFitness=39.9800
2018-11-02 19:38:09,133 - DEBUG - generation=3, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=38.7900, networkFitness=38.7900
2018-11-02 19:38:23,480 - DEBUG - generation=3, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=21.9200, childFitness=37.7800, networkFitness=37.7800
2018-11-02 19:38:27,789 - DEBUG - generation=3, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=40.4900, childFitness=41.8900, networkFitness=41.8900
2018-11-02 19:38:32,490 - DEBUG - generation=3, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=42.1600, childFitness=28.7900, networkFitness=42.1600
2018-11-02 19:41:07,547 - DEBUG - generation=4, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=38.1100, childFitness=41.0000, networkFitness=42.2500
2018-11-02 19:41:15,322 - DEBUG - generation=4, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=46.3500, childFitness=25.6700, networkFitness=47.0000
2018-11-02 19:41:19,654 - DEBUG - generation=4, Rank=9, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=28.6900, childFitness=41.2800, networkFitness=41.2800
2018-11-02 19:41:48,638 - DEBUG - generation=4, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.5300, childFitness=40.1700, networkFitness=45.2900
2018-11-02 19:41:48,860 - DEBUG - generation=4, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=37.6800, childFitness=36.1100, networkFitness=37.6800
2018-11-02 19:41:55,745 - DEBUG - generation=4, Rank=0, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=39.7800, childFitness=10.0000, networkFitness=41.8900
2018-11-02 19:41:55,746 - DEBUG - generation=4, Rank=4, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=24.3800, childFitness=40.1000, networkFitness=40.1000
