2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=1, processid=boyle-n016.cluster, group=ID0, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 3, 'nbNeurons': 4}, parentFitness=18.4200, childFitness=18.7400, networkFitness=19.9200, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=5, processid=boyle-n016.cluster, group=ID1, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.2, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=41.8600, childFitness=33.6700, networkFitness=42.3700, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=4, processid=boyle-n016.cluster, group=ID1, subRank=0, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=23.5300, childFitness=40.1700, networkFitness=40.1700, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=8, processid=boyle-n016.cluster, group=ID2, subRank=0, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=10.0000, networkFitness=10.0000, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=0, processid=boyle-n016.cluster, group=ID0, subRank=0, parent={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=32.4900, childFitness=31.6300, networkFitness=32.4900, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=2, processid=boyle-n016.cluster, group=ID0, subRank=2, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=32.7000, childFitness=37.8500, networkFitness=37.8500, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=3, processid=boyle-n016.cluster, group=ID0, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=34.6700, childFitness=32.6600, networkFitness=34.6700, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=9, processid=boyle-n016.cluster, group=ID2, subRank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=35.9500, childFitness=10.0000, networkFitness=36.1700, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=7, processid=boyle-n016.cluster, group=ID1, subRank=3, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=43.6200, childFitness=45.2600, networkFitness=45.2600, genBestFitness=46.1700
2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=11, processid=boyle-n016.cluster, group=ID2, subRank=3, parent={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, parentFitness=30.0200, childFitness=10.0000, networkFitness=33.4100, genBestFitness=46.1700
