2018-11-02 18:44:49,654 - DEBUG - generation=9, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.2700, childFitness=41.7100, networkFitness=44.6300
2018-11-02 18:46:44,430 - DEBUG - generation=10, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=44.2100, childFitness=10.0000, networkFitness=44.2100
2018-11-02 18:46:49,264 - DEBUG - generation=10, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=10.0000, childFitness=40.4400, networkFitness=40.6400
2018-11-02 18:47:32,314 - DEBUG - generation=10, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.4900, childFitness=43.3400, networkFitness=44.4900
2018-11-02 18:47:42,063 - DEBUG - generation=10, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.6000, childFitness=42.3900, networkFitness=44.6300
2018-11-02 18:49:53,597 - DEBUG - generation=11, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=44.5500, childFitness=41.3500, networkFitness=44.5500
2018-11-02 18:50:11,751 - DEBUG - generation=11, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.6100, childFitness=42.9700, networkFitness=44.6100
2018-11-02 18:50:27,673 - DEBUG - generation=11, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=42.5800, childFitness=41.1700, networkFitness=44.6300
2018-11-02 18:50:53,123 - DEBUG - generation=11, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 8}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=10.0000, childFitness=10.0000, networkFitness=40.6400
2018-11-02 18:53:06,081 - DEBUG - generation=12, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'relu', 'nbLayers': 3, 'nbNeurons': 8}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=10.0000, childFitness=19.7700, networkFitness=40.6400
2018-11-02 18:53:44,009 - DEBUG - generation=12, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.3100, childFitness=44.5300, networkFitness=44.5500
2018-11-02 18:54:00,463 - DEBUG - generation=12, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.9800, childFitness=46.1500, networkFitness=46.1500
2018-11-02 18:54:16,867 - DEBUG - generation=12, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=38.2100, childFitness=43.4700, networkFitness=44.6100
2018-11-02 18:56:44,499 - DEBUG - generation=13, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=44.2100, childFitness=41.2000, networkFitness=44.6100
2018-11-02 18:56:52,331 - DEBUG - generation=13, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'hard_sigmoid', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=10.0000, childFitness=10.0000, networkFitness=40.6400
